"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Densité des adverbes ?","20 %","22 %","17 %","20 %","22 %","12 %","13 %","9 %","9 %","17 %","14 %","22 %","19 %","17 %","12 %","16 %","19 %","12 %","15 %","16 %","16 %","14 %","20 %","22 %","14 %","18 %","20 %","19 %","15 %","19 %","19 %","21 %","12 %","16 %","19 %","15 %","17 %","13 %","16 %","15 %","16 %","14 %","15 %","15 %","12 %","20 %","13 %","14 %","13 %","15 %","13 %","13 %","12 %","16 %","12 %","17 %","13 %","20.8 %"
"Densité des Verbes ?","20 %","18 %","18 %","11 %","15 %","20 %","21 %","19 %","18 %","23 %","18 %","21 %","16 %","16 %","15 %","17 %","18 %","16 %","18 %","16 %","15 %","23 %","14 %","14 %","24 %","25 %","25 %","22 %","12 %","19 %","16 %","17 %","17 %","17 %","13 %","24 %","14 %","15 %","11 %","21 %","16 %","21 %","21 %","20 %","19 %","11 %","13 %","17 %","15 %","19 %","19 %","12 %","16 %","22 %","17 %","22 %","16 %","20.5 %"
"Densité de participes passés ?","4 %","4 %","4 %","4 %","3 %","2 %","3 %","3 %","2 %","4 %","3 %","3 %","3 %","4 %","3 %","3 %","4 %","5 %","4 %","4 %","4 %","4 %","4 %","3 %","4 %","6 %","5 %","4 %","5 %","3 %","4 %","3 %","3 %","3 %","4 %","7 %","3 %","3 %","3 %","3 %","5 %","3 %","3 %","2 %","3 %","3 %","3 %","4 %","3 %","4 %","3 %","3 %","3 %","6 %","4 %","6 %","3 %","19.9 %"
"Noms fortement modifiés ?","8 %","11 %","13 %","13 %","13 %","8 %","9 %","11 %","7 %","7 %","13 %","12 %","12 %","11 %","11 %","11 %","12 %","9 %","9 %","11 %","5 %","9 %","10 %","10 %","9 %","10 %","9 %","7 %","13 %","11 %","11 %","12 %","11 %","8 %","12 %","7 %","11 %","10 %","11 %","8 %","11 %","9 %","12 %","12 %","13 %","7 %","10 %","9 %","10 %","6 %","10 %","10 %","10 %","8 %","9 %","7 %","8 %","19.4 %"
"Profondeur d'expansion finale ?","228 %","318 %","302 %","260 %","280 %","165 %","206 %","202 %","203 %","291 %","224 %","287 %","344 %","240 %","268 %","323 %","282 %","223 %","207 %","201 %","190 %","347 %","278 %","316 %","203 %","178 %","208 %","217 %","243 %","211 %","270 %","288 %","243 %","232 %","272 %","203 %","200 %","212 %","207 %","188 %","198 %","180 %","258 %","229 %","271 %","205 %","243 %","265 %","257 %","169 %","222 %","216 %","207 %","217 %","230 %","210 %","197 %","18.4 %"
"Renouvellement lexical ?","14 %","13 %","11 %","13 %","12 %","7 %","10 %","8 %","8 %","15 %","14 %","15 %","12 %","12 %","12 %","11 %","9 %","11 %","9 %","11 %","12 %","17 %","12 %","14 %","13 %","17 %","17 %","18 %","12 %","12 %","12 %","12 %","10 %","11 %","12 %","12 %","14 %","12 %","12 %","14 %","14 %","10 %","12 %","12 %","9 %","11 %","10 %","11 %","8 %","10 %","9 %","12 %","9 %","9 %","10 %","7 %","7 %","18.0 %"
"Complexité syntaxique ?","2.8","4.3","4.5","6.2","4.6","3.4","4.2","4.1","3.6","4.4","4.4","4.5","5.5","4.3","5.0","5.6","4.8","3.7","3.7","3.5","2.9","4.7","5.5","5.1","3.5","3.5","3.4","3.9","4.0","3.2","4.2","3.8","3.7","3.2","4.3","3.2","2.8","3.5","3.1","3.0","3.4","3.5","4.2","4.1","4.6","3.2","3.9","4.2","4.0","2.5","3.7","3.6","3.2","3.7","3.8","3.3","3.3","17.8 %"
"Répétition de familles de mots ?","16 %","15 %","14 %","14 %","14 %","10 %","12 %","10 %","10 %","18 %","16 %","17 %","14 %","14 %","14 %","13 %","11 %","13 %","12 %","13 %","14 %","19 %","14 %","15 %","14 %","19 %","19 %","20 %","14 %","14 %","14 %","14 %","13 %","13 %","14 %","15 %","17 %","14 %","14 %","16 %","16 %","12 %","14 %","14 %","12 %","12 %","13 %","13 %","10 %","12 %","11 %","14 %","11 %","11 %","13 %","8 %","9 %","15.5 %"
"Diversité locale de longueur de phrase ?","0.33","0.01","0.33","0.09","0.22","0.27","0.38","0.28","0.37","0.29","0.25","0.42","0.44","0.45","0.30","0.45","0.53","0.37","0.44","0.32","0.35","0.47","0.26","0.15","0.15","0.29","0.22","0.35","0.46","0.37","0.40","0.32","0.32","0.39","0.28","0.38","0.19","0.32","0.27","0.23","0.17","0.09","0.06","0.09","-0.07","0.18","0.28","0.34","0.42","0.36","0.38","0.34","0.27","0.29","0.32","0.37","0.32","31.6 %"
"Complexité de ponctuation ?","58 %","55 %","58 %","62 %","44 %","74 %","68 %","67 %","65 %","72 %","53 %","43 %","44 %","53 %","55 %","46 %","50 %","62 %","67 %","66 %","59 %","59 %","68 %","62 %","52 %","56 %","41 %","56 %","62 %","69 %","67 %","64 %","67 %","70 %","67 %","57 %","77 %","72 %","74 %","66 %","70 %","66 %","51 %","58 %","60 %","60 %","67 %","66 %","52 %","60 %","59 %","61 %","63 %","50 %","58 %","60 %","58 %","13.5 %"
